iter	Passed	Remaining
746	8873	3005
747	8883	2992
748	8893	2980
749	8904	2968
750	8914	2955
751	8924	2943
752	8933	2930
753	8943	2917
754	8952	2905
755	8963	2892
756	8974	2880
757	8984	2868
758	8996	2856
759	9007	2844
760	9016	2831
761	9026	2819
762	9036	2806
763	9046	2794
764	9057	2782
765	9066	2769
766	9076	2757
767	9088	2745
768	9100	2733
769	9111	2721
770	9121	2709
771	9131	2696
772	9141	2684
773	9153	2672
774	9163	2660
775	9173	2648
776	9183	2635
777	9193	2623
778	9203	2611
779	9213	2598
780	9223	2586
781	9233	2574
782	9243	2561
783	9253	2549
784	9263	2537
785	9273	2524
786	9285	2512
787	9296	2501
788	9307	2488
789	9318	2477
790	9328	2464
791	9340	2452
792	9349	2440
793	9359	2428
794	9370	2416
795	9379	2403
796	9389	2391
797	9398	2379
798	9411	2367
799	9421	2355
800	9431	2343
801	9441	2331
802	9452	2318
803	9462	2306
804	9471	2294
805	9481	2282
806	9490	2269
807	9500	2257
808	9509	2245
809	9519	2233
810	9530	2220
811	9539	2208
812	9550	2196
813	9562	2185
814	9572	2172
815	9582	2160
816	9591	2148
817	9601	2136
818	9611	2124
819	9620	2111
820	9631	2099
821	9640	2087
822	9650	2075
823	9661	2063
824	9671	2051
825	9680	2039
826	9690	2027
827	9704	2015
828	9714	2003
829	9723	1991
830	9734	1979
831	9743	1967
832	9754	1955
833	9764	1943
834	9774	1931
835	9783	1919
836	9793	1907
837	9803	1895
838	9813	1883
839	9823	1871
840	9833	1859
841	9843	1847
842	9853	1835
843	9864	1823
844	9874	1811
845	9884	1799
846	9896	1787
847	9906	1775
848	9916	1763
849	9927	1751
850	9937	1739
851	9948	1728
852	9959	1716
853	9968	1704
854	9979	1692
855	9988	1680
856	9998	1668
857	10009	1656
858	10018	1644
859	10028	1632
860	10037	1620
861	10046	1608
862	10057	1596
863	10067	1584
864	10078	1572
865	10087	1560
866	10097	1549
867	10108	1537
868	10117	1525
869	10128	1513
870	10139	1501
871	10149	1489
872	10159	1477
873	10169	1466
874	10180	1454
875	10191	1442
876	10200	1430
877	10211	1418
878	10221	1407
879	10231	1395
880	10242	1383
881	10252	1371
882	10262	1359
883	10273	1348
884	10283	1336
885	10294	1324
886	10303	1312
887	10313	1300
888	10323	1288
889	10333	1277
890	10343	1265
891	10353	1253
892	10363	1241
893	10375	1230
894	10389	1218
895	10404	1207
896	10414	1195
897	10424	1184
898	10434	1172
899	10443	1160
900	10453	1148
901	10462	1136
902	10473	1125
903	10483	1113
904	10492	1101
905	10503	1089
906	10513	1077
907	10522	1066
908	10534	1054
909	10544	1042
910	10555	1031
911	10564	1019
912	10574	1007
913	10586	996
914	10597	984
915	10611	973
916	10624	961
917	10638	950
918	10647	938
919	10657	926
920	10667	914
921	10676	903
922	10687	891
923	10698	879
924	10708	868
925	10721	856
926	10732	845
927	10742	833
928	10752	821
929	10762	810
930	10772	798
931	10783	786
932	10793	775
933	10804	763
934	10813	751
935	10823	740
936	10833	728
937	10842	716
938	10852	704
939	10862	693
940	10871	681
941	10882	670
942	10894	658
943	10904	646
944	10915	635
945	10924	623
946	10934	611
947	10944	600
948	10953	588
949	10964	577
950	10975	565
951	10985	553
952	10994	542
953	11005	530
954	11015	519
955	11024	507
956	11034	495
957	11045	484
958	11054	472
959	11065	461
960	11075	449
961	11084	437
962	11093	426
963	11102	414
964	11111	403
965	11120	391
966	11130	379
967	11139	368
968	11147	356
969	11157	345
970	11166	333
971	11175	321
972	11184	310
973	11194	298
974	11204	287
975	11213	275
976	11224	264
977	11233	252
978	11243	241
979	11252	229
980	11266	218
981	11276	206
982	11287	195
983	11296	183
984	11307	172
985	11316	160
986	11325	149
987	11333	137
988	11341	126
989	11349	114
990	11359	103
991	11367	91
992	11375	80
993	11384	68
994	11392	57
995	11399	45
996	11407	34
997	11416	22
998	11425	11
999	11434	0
	12143	159
987	12153	147
988	12163	135
989	12172	122
990	12182	110
991	12192	98
992	12202	86
993	12213	73
994	12223	61
995	12235	49
996	12245	36
997	12255	24
998	12264	12
999	12273	0
489
946	26132	1462
947	26160	1434
948	26198	1407
949	26240	1381
950	26267	1353
951	26298	1325
952	26327	1298
953	26368	1271
954	26400	1244
955	26437	1216
956	26484	1189
957	26515	1162
958	26551	1135
959	26570	1107
960	26592	1079
961	26617	1051
962	26642	1023
963	26682	996
964	26733	969
965	26768	942
966	26791	914
967	26814	886
968	26829	858
969	26840	830
970	26849	801
971	26860	773
972	26872	745
973	26882	717
974	26893	689
975	26903	661
976	26914	633
977	26926	605
978	26935	577
979	26947	549
980	26957	522
981	26967	494
982	26978	466
983	26988	438
984	27000	411
985	27012	383
986	27028	355
987	27041	328
988	27053	300
989	27064	273
990	27075	245
991	27086	218
992	27097	191
993	27108	163
994	27118	136
995	27128	108
996	27139	81
997	27153	54
998	27165	27
999	27179	0
